,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
3528,6867,국제,[국제C]외국어대학 전산실 조교 모집,외국어대학,2017-08-23,178,https://www.khu.ac.kr/kor/notice/detail.do?seq=109641&page=353&category=GENERAL
3529,6866,국제,장애학생지원센터 국제캠퍼스 장애학생도우미 모집공고,장애학생지원센터(국제),2017-08-23,215,https://www.khu.ac.kr/kor/notice/detail.do?seq=109640&page=353&category=GENERAL
3530,6865,서울,정보처 학사조교 추가 모집(~9/15),정보처,2017-08-23,202,https://www.khu.ac.kr/kor/notice/detail.do?seq=109639&page=354&category=GENERAL
3531,6864,국제,2017-2학기 국가근로 학생 모집((주)한국체이스_애...,창업보육센터(국제),2017-08-23,494,https://www.khu.ac.kr/kor/notice/detail.do?seq=109638&page=354&category=GENERAL
3532,6863,국제,KHU 클럽멘토링 참가 동아리 모집(중학교자유학기제 지...,입학처(국제),2017-08-23,316,https://www.khu.ac.kr/kor/notice/detail.do?seq=109637&page=354&category=GENERAL
3533,6862,국제,[공학교육혁신센터] 2017-2학기 국가근로학생모집,공학교육혁신센터,2017-08-23,335,https://www.khu.ac.kr/kor/notice/detail.do?seq=109636&page=354&category=GENERAL
3534,6861,서울,[서울C]후마니타스칼리지 행정실 조교 추가모집(~09/...,후마니타스칼리지(서울),2017-08-23,175,https://www.khu.ac.kr/kor/notice/detail.do?seq=109633&page=354&category=GENERAL
3535,6860,국제,[국제] 정보처 학사조교 모집(~8/25일 까지),정보처,2017-08-23,114,https://www.khu.ac.kr/kor/notice/detail.do?seq=109632&page=354&category=GENERAL
3536,6859,서울,[취업진로지원처] 9월 컴퓨터 교육/자격증 특별 강좌 ...,미래인재센터(서울),2017-08-23,365,https://www.khu.ac.kr/kor/notice/detail.do?seq=109631&page=354&category=GENERAL
3537,6858,국제,2017-2학기 국가근로학생 모집(테이커스_애지원근무)...,창업보육센터(국제),2017-08-23,372,https://www.khu.ac.kr/kor/notice/detail.do?seq=109630&page=354&category=GENERAL
3538,6857,서울,2017학년도 2학기 경영대학 행정실 조교(2명) 모집...,경영대학,2017-08-23,169,https://www.khu.ac.kr/kor/notice/detail.do?seq=109629&page=354&category=GENERAL
3539,6856,공통,인터넷디스크 서비스 중단 및 구글 드라이브 서비스 안내,정보처,2017-08-22,410,https://www.khu.ac.kr/kor/notice/detail.do?seq=109626&page=354&category=GENERAL
3540,6855,국제,[현장연수활동]2017-2 브랜디 장기현장연수활동 학생...,미래인재센터(국제),2017-08-22,342,https://www.khu.ac.kr/kor/notice/detail.do?seq=109625&page=355&category=GENERAL
3541,6854,국제,[모집] 2017-2학기 피부생명공학센터 임상연구소 국...,피부생명공학센터,2017-08-22,391,https://www.khu.ac.kr/kor/notice/detail.do?seq=109624&page=355&category=GENERAL
3542,6853,공통,[국제교육원]17 여름 2차 단기 과정 한국어 도우미 ...,국제교육원,2017-08-22,271,https://www.khu.ac.kr/kor/notice/detail.do?seq=109621&page=355&category=GENERAL
