,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
94,30,국제,2019학년도 1학기 후마니타스칼리지 강의정보 변경 안...,후마니타스칼리지(국제),2019-01-17,1282,https://www.khu.ac.kr/kor/notice/detail.do?seq=2109263&page=10&category=SCHEDULE
95,29,국제,2018학년도 동계 계절제 수업 추가 개설 안내(글...,교무처 교직과(국제),2018-12-14,309,https://www.khu.ac.kr/kor/notice/detail.do?seq=2108235&page=10&category=SCHEDULE
96,28,국제,2018학년도 동계계절학기 국제 후마니타스칼리지 강좌 ...,후마니타스칼리지(국제),2018-12-12,553,https://www.khu.ac.kr/kor/notice/detail.do?seq=2108164&page=10&category=SCHEDULE
97,27,국제,[국제대학]2018-1학기 국제대학 개설 강좌 추가 안...,국제대학,2018-02-19,279,https://www.khu.ac.kr/kor/notice/detail.do?seq=110863&page=10&category=SCHEDULE
98,26,국제,[국제대학]2018-1학기 국제대학 개설 강좌 추가 안...,국제대학,2018-02-19,255,https://www.khu.ac.kr/kor/notice/detail.do?seq=110862&page=10&category=SCHEDULE
99,25,국제,2016-1 국제대학 문제해결형 및 시간표 변경 안내,국제대학,2015-12-16,569,https://www.khu.ac.kr/kor/notice/detail.do?seq=104947&page=10&category=SCHEDULE
100,24,서울,2015-2 생활과학대학 의상학과 강의시간 변경안내,생활과학대학,2015-07-31,370,https://www.khu.ac.kr/kor/notice/detail.do?seq=103985&page=11&category=SCHEDULE
101,23,서울,한의과대학 2015-2학기 강의내용 변경사항 안내,한의과대학,2015-07-24,443,https://www.khu.ac.kr/kor/notice/detail.do?seq=103921&page=11&category=SCHEDULE
102,22,국제,2015-2 국제대학 강좌 추가 개설 안내,국제경영대학,2015-06-30,623,https://www.khu.ac.kr/kor/notice/detail.do?seq=103735&page=11&category=SCHEDULE
103,21,서울,2015-1학기 법과대학 개설과목 강의실 변경안내 [상...,법과대학,2015-03-13,367,https://www.khu.ac.kr/kor/notice/detail.do?seq=103003&page=11&category=SCHEDULE
104,20,국제,2014-2 국제대학 강의실 변경 안내,국제경영대학,2015-03-05,430,https://www.khu.ac.kr/kor/notice/detail.do?seq=102935&page=11&category=SCHEDULE
105,19,서울,2015학년도 1학기 정경대학 개설과목 변경사항 안내,정경대학,2015-02-27,548,https://www.khu.ac.kr/kor/notice/detail.do?seq=102886&page=11&category=SCHEDULE
106,18,서울,2015-1학기 법과대학 개설과목 강의실 변경안내,법과대학,2015-02-24,286,https://www.khu.ac.kr/kor/notice/detail.do?seq=102851&page=11&category=SCHEDULE
107,17,서울,2014학년도 2학기 법과대학 개설과목 강의실 변경안내,법과대학,2014-09-11,499,https://www.khu.ac.kr/kor/notice/detail.do?seq=101719&page=11&category=SCHEDULE
108,16,서울,2014-2학기 후마니타스칼리지 강좌 추가 개설 안내,후마니타스칼리지(서울),2014-08-27,1094,https://www.khu.ac.kr/kor/notice/detail.do?seq=101604&page=11&category=SCHEDULE
109,15,국제,[국제대학]2014-2학기 전공강좌 강의실 변경 안내,국제경영대학,2014-08-25,635,https://www.khu.ac.kr/kor/notice/detail.do?seq=101589&page=11&category=SCHEDULE
110,14,서울,2014학년도 2학기 법과대학 개설과목 강의실 변경안내,법과대학,2014-08-18,384,https://www.khu.ac.kr/kor/notice/detail.do?seq=101536&page=12&category=SCHEDULE
111,13,서울,2014-2학기 후마니타스칼리지 강좌 추가 개설 안내,후마니타스칼리지(서울),2014-08-06,984,https://www.khu.ac.kr/kor/notice/detail.do?seq=101474&page=12&category=SCHEDULE
112,12,서울,서울-국제 캠퍼스 간 교차화상강의 개설 안내 (경영대학...,경영대학,2014-08-01,3919,https://www.khu.ac.kr/kor/notice/detail.do?seq=101444&page=12&category=SCHEDULE
113,11,서울,2014학년도 2학기 법과대학 개설과목 변경사항 안내,법과대학,2014-07-03,435,https://www.khu.ac.kr/kor/notice/detail.do?seq=101271&page=12&category=SCHEDULE
114,10,서울,2014학년도 2학기 정경대학 개설과목 변경사항 안내(...,정경대학,2014-06-19,1038,https://www.khu.ac.kr/kor/notice/detail.do?seq=101188&page=12&category=SCHEDULE
115,9,국제,[후마니타스칼리지-교직]교직실습(최일선교수님) 시간 변...,후마니타스칼리지(국제),2014-03-03,729,https://www.khu.ac.kr/kor/notice/detail.do?seq=100453&page=12&category=SCHEDULE
116,8,서울,2014학년도 1학기 경영대학 시간표 변경사항 공지,경영대학,2014-02-27,1109,https://www.khu.ac.kr/kor/notice/detail.do?seq=100435&page=12&category=SCHEDULE
117,7,국제,[전공기초(화학)]2014-1학기 일반화학(APCH11...,응용과학대학,2014-02-24,738,https://www.khu.ac.kr/kor/notice/detail.do?seq=100394&page=12&category=SCHEDULE
118,6,국제,[응용물리학과]2014-1학기 물리학및실험1 교강사 변...,응용과학대학,2014-02-21,656,https://www.khu.ac.kr/kor/notice/detail.do?seq=100384&page=12&category=SCHEDULE
119,5,국제,2014-1 기초유기화학(이승한교수님) 변경건,응용과학대학,2014-02-13,511,https://www.khu.ac.kr/kor/notice/detail.do?seq=100312&page=12&category=SCHEDULE
