,번호,제목,글쓴이,날짜,조회수,링크
535,601,2016년도 1학기 1차 국가근로장학사업 학생통합신청 연장안내(~12.17.수 18시),행정실,2015-11-25,3982,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7470&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=36
536,600,2016학년도 한국지도자육성재단 신규 장학생 선발 안내,행정실,2015-11-25,3890,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7468&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=36
537,599,"2016학년도 1학기 Ⅰ,Ⅱ유형 및 다자녀(셋째아이 이상)국가장학금 신청 안내(~12.16(수) 18시까지)",행정실,2015-11-24,4061,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7466&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=36
538,598,2015-2학기 모자이크장학 신청 안내(12/1~12.18),행정실,2015-11-18,4724,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7445&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=36
539,597,2016학년도 1학기 아산사회복지재단 장학생 선발 안내,행정실,2015-11-10,4567,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7427&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=36
540,596,2015학년도 제3기 유영아 학업(學up)장학생 선발 안내,행정실,2015-11-06,4546,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7416&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
541,595,2016-1학기 롯데장학재단 장학생 선발 안내,행정실,2015-11-05,4747,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7414&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
542,594,2015년 하반기 통영시 대학생 학자금대출 이자지원사업 안내,행정실,2015-11-05,4682,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7413&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
543,593,2016학년도 STX장학재단 국내장학생 선발 안내,행정실,2015-11-04,4613,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7410&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
544,592,2016학년도 OK저축은행 러시앤캐시 제4회 행복나눔등록금캠페인 장학생 모집 안내,행정실,2015-11-04,4470,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7400&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
545,591,2016학년도 대산농촌재단 장학생 선발 안내,행정실,2015-11-04,4523,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7399&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
546,590,2015년 글로벌인재장학금 장학생 선발 안내,행정실,2015-11-03,4592,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7398&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
547,589,삼성드림클래스 대학생 강사 선발 안내,행정실,2015-11-03,4690,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7397&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
548,588,[장학안내] 2015-2학기 자격증장학 신청 안내(10.16~10.30),행정실,2015-10-16,5527,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7366&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
549,587,2015학년도 2학기 학생인권복지위원회 생활비장학금 신청 안내,행정실,2015-10-06,4532,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7345&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
550,586,2016학년도 하이트진로 장학생 선발 안내,행정실,2015-10-06,4883,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7341&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
551,585,2016학년도 일주학술문화재단 24기 국내학사 장학생 선발 안내,행정실,2015-10-06,4825,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7340&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
552,584,2015학년도 2학기 서울장학재단 하이서울장학금 대학분야 선발안내,행정실,2015-09-25,4920,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7321&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
553,583,2015학년도 2학기 (재)달서인재육성재단 장학생 선발 안내,행정실,2015-09-24,4973,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7315&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
554,582,앨트웰민초장학재단 16기 장학생 선발 안내,행정실,2015-09-24,5107,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7314&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=37
555,581,2015년 고속도로 장학금 안내,행정실,2015-09-24,4965,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7313&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
556,580,2015학년도 2학기 은평구민 장학생 선발 안내,행정실,2015-09-16,5005,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7297&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
557,579,2015학년도 (재)포항시장학회 장학생 선발 안내,행정실,2015-09-04,5259,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7275&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
558,578,[장학안내] 2015학년도 2학기 고시장학 최종합격자 신청 안내,행정실,2015-09-01,5833,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7262&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
559,577,2015학년도 2학기 재단법인 하영호 장학재단 장학생 추천 안내,행정실,2015-08-26,7423,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7253&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
560,576,2015학년도 2학기 재단법인 숭덕육영회 숭덕학사 입사 신청 안내,행정실,2015-08-26,7296,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7252&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
561,575,경영대학 전문자격증 장학 자격증 추가 안내,행정실,2015-08-18,6131,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7231&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
562,574,2015학년도 2학기 경영대학 교내장학 선발기준(수정공지),행정실,2015-08-17,6264,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7226&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=38
