,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
69,302,서울,[중앙박물관]제140회 정기문화답사 안내- (고려 건국...,중앙박물관,2018-04-04,523,https://www.khu.ac.kr/kor/notice/detail.do?seq=111294&page=7&category=EVENT
70,301,국제,[Info21:차세대 정보시스템 구축](2단계) 및 지...,정보처,2018-03-27,770,https://www.khu.ac.kr/kor/notice/detail.do?seq=111246&page=8&category=EVENT
71,300,서울,[서울C 창업보육센터] 경희대 미래혁신원 혁신창업프로그...,창업보육센터(서울),2018-03-27,658,https://www.khu.ac.kr/kor/notice/detail.do?seq=111245&page=8&category=EVENT
72,299,서울,[중앙박물관]제139회 정기문화답사 안내 - 백제 중흥...,중앙박물관,2018-03-05,545,https://www.khu.ac.kr/kor/notice/detail.do?seq=111019&page=8&category=EVENT
73,298,공통,뮤지컬 <모래시계> 경희대학교 구성원 특별할인,대외협력처(서울),2018-01-15,1556,https://www.khu.ac.kr/kor/notice/detail.do?seq=110593&page=8&category=EVENT
74,297,공통,[정보처]푸시서비스(‘KHU알리미’ 앱) 이벤트 12월...,정보처,2017-12-13,888,https://www.khu.ac.kr/kor/notice/detail.do?seq=110355&page=8&category=EVENT
75,296,공통,Magnolia 2017 목련회의·목련음악회 개최 안내,대외협력처(서울),2017-12-12,798,https://www.khu.ac.kr/kor/notice/detail.do?seq=110352&page=8&category=EVENT
76,295,공통,[미래문명특강] 세계은행 소재향 선임고문 특강,미래문명원,2017-12-11,555,https://www.khu.ac.kr/kor/notice/detail.do?seq=110339&page=8&category=EVENT
77,294,공통,[미래문명원 명사특강] 케임브리지대학 권헌익 석좌교수 ...,미래문명원,2017-12-11,510,https://www.khu.ac.kr/kor/notice/detail.do?seq=110338&page=8&category=EVENT
78,293,공통,[SK청년비상] 2017-2학기 경희대학교 창업경연대회...,창업보육센터(서울),2017-12-11,552,https://www.khu.ac.kr/kor/notice/detail.do?seq=110336&page=8&category=EVENT
79,292,서울,케임브리지대학 권헌익 석좌교수 특강에 초대합니다,미래문명원,2017-12-08,435,https://www.khu.ac.kr/kor/notice/detail.do?seq=110318&page=8&category=EVENT
80,291,서울,[세계은행 소재향 선임고문 특강 안내] '빈곤종식을 위...,미래문명원,2017-12-08,377,https://www.khu.ac.kr/kor/notice/detail.do?seq=110317&page=9&category=EVENT
81,290,국제,[교수학습지원센터(국제)]경희 K-MOOC 성과발표회 ...,교수학습지원센터(국제),2017-12-05,587,https://www.khu.ac.kr/kor/notice/detail.do?seq=110282&page=9&category=EVENT
82,289,서울,청년상인 공유형상점 창업 공모전,캠퍼스타운 조성 사업단,2017-11-23,569,https://www.khu.ac.kr/kor/notice/detail.do?seq=110217&page=9&category=EVENT
83,288,공통,'경희 북토크'에 구성원 여러분을 초대합니다,후마니타스 칼리지,2017-11-22,899,https://www.khu.ac.kr/kor/notice/detail.do?seq=110210&page=9&category=EVENT
84,287,공통,[정보처]푸시서비스(‘KHU알리미’ 앱) 이벤트 11월...,정보처,2017-11-13,559,https://www.khu.ac.kr/kor/notice/detail.do?seq=110149&page=9&category=EVENT
85,286,서울,[중앙박물관]제138회 정기문화답사 안내 - 쇄국과 근...,중앙박물관,2017-11-07,452,https://www.khu.ac.kr/kor/notice/detail.do?seq=110117&page=9&category=EVENT
86,285,서울,제3회 대학생 新조선통신사 - 통신사의 길을 따라서' ...,학생지원센터 학생지원팀(서울),2017-10-31,640,https://www.khu.ac.kr/kor/notice/detail.do?seq=110065&page=9&category=EVENT
87,284,공통,2017 동대문구 대학 사회적 경제 창업 교육,창업보육센터(서울),2017-10-20,562,https://www.khu.ac.kr/kor/notice/detail.do?seq=110010&page=9&category=EVENT
88,283,서울,안희정 충청남도 도지사 초청 특별 강연 안내,정경대학,2017-10-17,716,https://www.khu.ac.kr/kor/notice/detail.do?seq=109984&page=9&category=EVENT
89,282,공통,[정보처]푸시서비스(‘KHU알리미’ 앱) 이벤트 10월...,정보처,2017-10-13,495,https://www.khu.ac.kr/kor/notice/detail.do?seq=109974&page=9&category=EVENT
90,281,서울,[중앙박물관]제137회 정기문화답사 안내 - 십이령(十...,중앙박물관,2017-10-10,381,https://www.khu.ac.kr/kor/notice/detail.do?seq=109946&page=10&category=EVENT
91,280,서울,2017 후마니타스칼리지 세계평화주간 행사 안내,후마니타스칼리지(서울),2017-09-15,785,https://www.khu.ac.kr/kor/notice/detail.do?seq=109851&page=10&category=EVENT
92,279,공통,[정보처]푸시서비스(‘KHU알리미’ 앱) 이벤트 9월 ...,정보처,2017-09-08,575,https://www.khu.ac.kr/kor/notice/detail.do?seq=109805&page=10&category=EVENT
93,278,서울,"[주한미대사관]미국영어 수업-""잉글리쉬 라운지"" 행사 ...",중앙도서관(서울),2017-09-08,804,https://www.khu.ac.kr/kor/notice/detail.do?seq=109799&page=10&category=EVENT
94,277,서울,[중앙박물관]제136회 정기문화답사 안내 - 상사화(相...,중앙박물관,2017-09-01,453,https://www.khu.ac.kr/kor/notice/detail.do?seq=109737&page=10&category=EVENT
95,276,공통,제15회 임베디드 소프트웨어 경진대회,공학교육혁신센터,2017-08-21,512,https://www.khu.ac.kr/kor/notice/detail.do?seq=109601&page=10&category=EVENT
96,275,공통,[정보처]푸시서비스(‘KHU알리미’ 앱) 이벤트 8월 ...,정보처,2017-08-04,775,https://www.khu.ac.kr/kor/notice/detail.do?seq=109496&page=10&category=EVENT
97,274,공통,[정보처]푸시서비스(‘KHU알리미’ 앱) 오픈 이벤트 ...,정보처,2017-07-07,1098,https://www.khu.ac.kr/kor/notice/detail.do?seq=109221&page=10&category=EVENT
