,번호,제목,글쓴이,날짜,조회수,링크
50,1513,[서울][대외][~07.23] 2019년 하반기 시각장애인대학생을 위한 …,관리자,2019.07.09,566,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1732&page=4
51,1512,[공통][대외][~7.17]2019학년도 롯데장학재단 멘토링 장학생 신…,관리자,2019.07.09,1682,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1731&page=4
52,1511,[서울][국가장학] 19-1학기 국가2유형 지급기준 및 일정 안내,관리자,2019.07.08,2211,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1730&page=4
53,1510,[공통] 인포21 장학금 받을 학생 본인 계좌 등록 안내 (2019년 …,관리자,2019.07.08,1939,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1729&page=4
54,1509,[공통][대외][~7.23]2019년도 2학기 대정장학재단 장학생 선발 …,관리자,2019.07.04,1515,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1728&page=4
55,1508,[수정][공통][대외][~7.22]2019년도 정읍시민장학재단 장학생 선…,관리자,2019.07.03,709,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1727&page=4
56,1507,[서울][대외][~7.19] 2019학년도 2학기 하영호 장학회 선발 안내,관리자,2019.07.02,1038,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1726&page=4
57,1506,★★[서울][교내]2019-2학기 경희목련장학 운영 안내,관리자,2019.07.01,2363,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1725&page=4
58,1505,★★[서울][교내] 2019학년도 밝은사회장학(장애학생) 지급 기준…,관리자,2019.07.01,541,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1724&page=4
59,1504,[공통][대외][07.22~08.05]한국고등교육재단 2019년도 해외유학 …,관리자,2019.07.01,1496,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1723&page=4
60,1503,[공통][대외][6/27~7/01] 삼성드림클래스 2019년도 2학기 대학생…,관리자,2019.06.27,1402,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1722&page=5
61,1502,[공통][대외][~7.19] 2019학년도 OK배·정장학재단 장학생 모집 …,관리자,2019.06.26,1908,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1720&page=5
62,1501,[국제][교내]2019-1학기 교내장학금 지급 일정 안내,관리자,2019.06.26,5102,https://janghak.khu.ac.kr/board/bbs/board.php?bo_table=06_01&wr_id=1719&page=5
