,번호,제목,글쓴이,날짜,조회수,링크
102,55,2018학년도  상반기 장기현장실습 참가 안내(한상호 교수),행정실,2018-02-09,684,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10595&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=7
103,54,2018 스타트업캠퍼스 주관 OZ Innovation Lab 4기 모집안내,행정실,2018-02-06,339,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10579&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=7
104,53,2018 상반기 웹케시 신입 추천채용,행정실,2018-02-06,290,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10577&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=7
105,52,2018-1학기 경영인턴십 학점인정 신청 및 폐지 안내(*현장실습 프로그램과 무관함),행정실,2018-02-05,607,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10573&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
106,51,2018 상반기 (주)N3N 인턴 및 신입 채용공고,행정실,2018-01-19,427,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10526&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
107,50,2018 상반기 세아홀딩스 인턴 채용공고,행정실,2018-01-19,361,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10525&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
108,49,2018 상반기 OPR연구소 인턴 채용공고,행정실,2018-01-12,422,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10512&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
109,48,SNS 마케팅 현장실습-코리안홍(KOREANHONG),행정실,2018-01-03,495,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10492&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
110,47,경희대 재무회계팀 연말정산 아르바이트 공고,행정실,2017-12-28,984,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10487&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
111,46,취업/현장실습 상담 안내 - 한상호 교수,행정실,2017-12-21,579,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10478&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
112,45,2018년 졸업예정자(4-2 혹은 4-1) 대상 특허사무소 인턴 및 채용연계 공고,행정실,2017-12-21,510,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10477&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
113,44,외국인학생 대상 자국어 마케팅(SNS)활동 현장실습 -(코리안홍 (Koreanhong)),행정실,2017-12-18,400,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10475&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
114,43,외국인학생 대상 한국 화장품회사 현장실습-((주)유엔김),행정실,2017-12-18,448,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10474&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
115,42,2017 동계 현장실습 시행안내(~12/14까지),행정실,2017-12-14,997,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10470&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
116,41,2017 하반기 (사)우리들의 미래 인턴연구원 채용공고,행정실,2017-12-13,214,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10468&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
117,40,2017 하반기 세아홀딩스 인턴 채용공고,행정실,2017-12-13,292,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10467&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
118,39,솔투로(Soltoro) 기업 현장실습 및 채용 안내,행정실,2017-12-12,663,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10460&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
119,38,현장실습 사전신청서-Design Your Dream & Sell Yourself,행정실,2017-12-12,979,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10459&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=8
120,37,2017학년도 동계 인천항만공사 산학협력 현장실습 참가자 선발 안내(~12/13),행정실,2017-12-11,619,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10458&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
121,36,2017학년도 동계 한국CSR연구소 산학협력 현장실습 참가자 선발 안내(~12/14),행정실,2017-12-11,332,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10457&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
122,35,2017학년도 동계 한국표준협회 산학협력 현장실습 참가자 선발 안내(~12/14),행정실,2017-12-11,436,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10456&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
123,34,졸업시험 면제과목 안내(현장실습),행정실,2017-12-07,547,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10451&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
124,33,[현장실습지원센터]현장실습 시행세칙 제정 안내(2017.11.01),행정실,2017-11-30,547,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10434&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
125,32,3D 프린팅 세미나 및 체험 참가 안내,행정실,2017-11-29,196,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10432&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
126,31,2018-1 KICEA 주관 미국 실리콘밸리 장기현장실습 참가신청 안내,행정실,2017-11-22,435,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10425&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
127,30,2018-1 KICEA 주관 뉴욕 장기현장실습 참가신청 안내(~12/1 까지),행정실,2017-11-22,473,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10424&sca=%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5&page=9
