,번호,제목,글쓴이,날짜,조회수,링크
42,23,청현재 2017년 6월 신입실원 모집공고(수정),행정실,2017-05-08,3767,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10337&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
43,22,2017년 2차 시험대비 모의고사 일정 및 신청안내(2017년 4월),행정실,2017-04-07,1034,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10336&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
44,21,청현재 2017년 3월 입실원 확정 공지,행정실,2017-03-01,3484,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10335&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=3
45,20,2017년도 CPA 1차시험 도시락 지원 안내,행정실,2017-02-02,1504,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10334&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
46,19,"2017년 3월 입실원(2차 유예생, 1차 응시생) 모집 안내",행정실,2017-01-26,2559,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10333&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
47,18,"(추가공지) 2017년 1차 대비 외부모의고사(우리, 위너스) 신청 안내",행정실,2017-01-13,1202,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10332&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
48,17,2017년 1차 대비 모의고사(나무모의고사) 일정 및 외부학생 참여안내,행정실,2017-01-04,1542,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10331&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
49,16,2017 회계캠프 참가명단 및 OT 공지,행정실,2016-12-27,2038,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10330&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
50,15,[청현재] 2017년 청현재 동계회계캠프 일정 및 신청 공지,행정실,2016-11-25,2192,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10329&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
51,14,청현재 평가시험(11~12월) 일정 및  2차생 추가모집 공고,행정실,2016-10-04,2224,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10328&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
52,13,[청현재] 2016년 9월 2/3차생 실원모집 공고,행정실,2016-08-02,2857,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10327&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
53,12,[청현재] 8~10월 평가시험 일정안내 및 외부학생 신청 공지,행정실,2016-08-02,2304,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10326&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
54,11,청현재 2016년 하계 신입실원 확정 공지,행정실,2016-06-28,4084,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10325&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
55,10,삼일회계법인 채용 설명회,행정실,2016-06-20,2751,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10324&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
56,9,4대 회계법인 공인회계사 채용설명회 일정,행정실,2016-06-08,2425,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10323&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
57,8,2016년 공인회계사 2차 응시자 점심도시락 신청 접수,행정실,2016-06-03,1821,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10322&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
58,7,쳥현재 2016년 하계(6월) 신입실원 모집,행정실,2016-05-27,4564,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10321&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
59,6,2016년 CPA 2차시험 대비 외부(위너스) 모의고사 신청(5월 30일까지) 공지,행정실,2016-05-19,1995,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10320&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=4
60,5,청현재 2016년 4월 - 2차시험 대비 모의고사 일정 및 외부생 신청 공지,행정실,2016-04-12,2946,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10319&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=5
61,4,청현재 2016년 3월 입실명단 발표,행정실,2016-03-02,7748,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10318&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=5
62,3,"청현재 2016년 3월 입실(2차 유예생, 2016년 1차 응시생)모집 공고",행정실,2016-02-04,6394,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10317&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=5
63,2,2016년 공인회계사 1차시험 응시자 점심(도시락) 지원 신청,행정실,2016-02-04,4447,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10316&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=5
64,1,2016년 1차대비 외부 모의고사 접수 공지,행정실,2016-01-08,4529,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10315&sca=%EC%B2%AD%ED%98%84%EC%9E%AC&page=5
