,번호,캠퍼스,제목,글쓴이,날짜,조회수,링크
616,220,서울,2015학년도 한국교원대학교 동계 계절학기 학점교류 안...,후마니타스칼리지(서울),2015-11-03,318,https://www.khu.ac.kr/kor/notice/detail.do?seq=104647&page=62&category=CREDIT
617,219,국제,2015학년도 동계계절학기 상명대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-02,246,https://www.khu.ac.kr/kor/notice/detail.do?seq=104633&page=62&category=CREDIT
618,218,국제,2015학년도 동계계절학기 국민대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-02,250,https://www.khu.ac.kr/kor/notice/detail.do?seq=104632&page=62&category=CREDIT
619,217,국제,2015학년도 동계계절학기 중앙대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-02,381,https://www.khu.ac.kr/kor/notice/detail.do?seq=104631&page=62&category=CREDIT
620,216,국제,2015학년도 동계계절학기 제주대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-02,621,https://www.khu.ac.kr/kor/notice/detail.do?seq=104630&page=63&category=CREDIT
621,215,국제,2015학년도 동계계절학기 숙명여자대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-02,304,https://www.khu.ac.kr/kor/notice/detail.do?seq=104629&page=63&category=CREDIT
622,214,국제,2015학년도 동계계절학기 동국대학교 학점교류 안내,교무처 학사지원과(국제),2015-11-02,257,https://www.khu.ac.kr/kor/notice/detail.do?seq=104628&page=63&category=CREDIT
623,213,서울,2015학년도 동국대학교 동계 계절학기 학점교류 안내,후마니타스칼리지(서울),2015-11-02,433,https://www.khu.ac.kr/kor/notice/detail.do?seq=104624&page=63&category=CREDIT
624,212,서울,2015학년도 숙명여자대학교 동계계절학기 학점교류 안내,후마니타스칼리지(서울),2015-10-29,533,https://www.khu.ac.kr/kor/notice/detail.do?seq=104602&page=63&category=CREDIT
625,211,서울,2015학년도 제주대학교 동계계절학기 학점교류 안내,후마니타스칼리지(서울),2015-10-28,1103,https://www.khu.ac.kr/kor/notice/detail.do?seq=104599&page=63&category=CREDIT
626,210,서울,2015학년도 상명대학교 동계계절학기 학점교류 안내,후마니타스칼리지(서울),2015-10-28,335,https://www.khu.ac.kr/kor/notice/detail.do?seq=104595&page=63&category=CREDIT
627,209,서울,2015학년도 국민대학교 동계계절학기 학점교류 안내,후마니타스칼리지(서울),2015-10-28,396,https://www.khu.ac.kr/kor/notice/detail.do?seq=104593&page=63&category=CREDIT
628,208,국제,2015학년도 동계계절학기 건국대학교 학점교류 안내,교무처 학사지원과(국제),2015-10-20,331,https://www.khu.ac.kr/kor/notice/detail.do?seq=104547&page=63&category=CREDIT
629,207,국제,2015학년도 동계계절학기 서울대학교 학점교류 안내,교무처 학사지원과(국제),2015-10-20,362,https://www.khu.ac.kr/kor/notice/detail.do?seq=104546&page=63&category=CREDIT
630,206,서울,2015학년도 서울대학교 동계계절학기 학점교류 안내,후마니타스칼리지(서울),2015-10-20,520,https://www.khu.ac.kr/kor/notice/detail.do?seq=104543&page=64&category=CREDIT
631,205,서울,2015학년도 건국대학교 동계계절학기 학점교류 안내,후마니타스칼리지(서울),2015-10-19,448,https://www.khu.ac.kr/kor/notice/detail.do?seq=104537&page=64&category=CREDIT
632,204,국제,2015학년도 2학기 한세대학교 학점교류 안내,교무처 학사지원과(국제),2015-08-11,281,https://www.khu.ac.kr/kor/notice/detail.do?seq=104061&page=64&category=CREDIT
633,203,국제,2015학년도 2학기 인천대학교(송도) 학점교류 안내,교무처 학사지원과(국제),2015-08-11,262,https://www.khu.ac.kr/kor/notice/detail.do?seq=104060&page=64&category=CREDIT
634,202,국제,2015학년도 2학기 평택대학교 학점교류 안내,교무처 학사지원과(국제),2015-08-03,253,https://www.khu.ac.kr/kor/notice/detail.do?seq=103999&page=64&category=CREDIT
635,201,서울,2015학년도 2학기 경희대학교로의 학점교류생 학번 부...,교무처 학사지원과(서울),2015-08-03,2402,https://www.khu.ac.kr/kor/notice/detail.do?seq=103992&page=64&category=CREDIT
636,200,국제,2015학년도 2학기 학점교류생 학번 부여 안내,교무처 학사지원과(국제),2015-08-03,600,https://www.khu.ac.kr/kor/notice/detail.do?seq=103991&page=64&category=CREDIT
637,199,국제,2015학년도 2학기 을지대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-31,238,https://www.khu.ac.kr/kor/notice/detail.do?seq=103983&page=64&category=CREDIT
638,198,국제,2015학년도 2학기 가톨릭대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-31,232,https://www.khu.ac.kr/kor/notice/detail.do?seq=103982&page=64&category=CREDIT
639,197,국제,2015학년도 2학기 가천대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-31,335,https://www.khu.ac.kr/kor/notice/detail.do?seq=103981&page=64&category=CREDIT
640,196,국제,2015학년도 2학기 경기대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-28,301,https://www.khu.ac.kr/kor/notice/detail.do?seq=103949&page=65&category=CREDIT
641,195,국제,2015학년도 2학기 한양대학교(ERICA) 학점교류 ...,교무처 학사지원과(국제),2015-07-27,280,https://www.khu.ac.kr/kor/notice/detail.do?seq=103942&page=65&category=CREDIT
642,194,국제,2015학년도 2학기 한국항공대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-27,232,https://www.khu.ac.kr/kor/notice/detail.do?seq=103940&page=65&category=CREDIT
643,193,국제,2015학년도 2학기 서울시립대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-27,342,https://www.khu.ac.kr/kor/notice/detail.do?seq=103939&page=65&category=CREDIT
644,192,국제,2015학년도 2학기 단국대학교(죽전) 학점교류 안내,교무처 학사지원과(국제),2015-07-27,277,https://www.khu.ac.kr/kor/notice/detail.do?seq=103938&page=65&category=CREDIT
645,191,서울,2015학년도 2학기 서울시립대학교 학점교류 안내,교무처 학사지원과(서울),2015-07-24,511,https://www.khu.ac.kr/kor/notice/detail.do?seq=103915&page=65&category=CREDIT
646,190,국제,2015학년도 2학기 한신대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-20,267,https://www.khu.ac.kr/kor/notice/detail.do?seq=103883&page=65&category=CREDIT
647,189,국제,2015학년도 2학기 건국대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-20,352,https://www.khu.ac.kr/kor/notice/detail.do?seq=103882&page=65&category=CREDIT
648,188,서울,2015학년도 2학기 건국대학교 학점교류 안내,교무처 학사지원과(서울),2015-07-17,449,https://www.khu.ac.kr/kor/notice/detail.do?seq=103869&page=65&category=CREDIT
649,187,국제,2015학년도 2학기 상명대학교 학점교류 안내,교무처 학사지원과(국제),2015-07-15,307,https://www.khu.ac.kr/kor/notice/detail.do?seq=103854&page=65&category=CREDIT
