,번호,제목,글쓴이,날짜,조회수,링크
33,150,2018 SUMMER CUHK-KHSOM JOINT CONFERENCE,행정실,2018-08-03,533,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11065&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
34,149,2018학년도 하계 CUHK-KHSOM JOINT CONFERENCE,행정실,2018-08-03,1223,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=11064&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
35,148,2018학년도 하계 경영대학 버디프로그램 안내,행정실,2018-06-22,733,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10975&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
36,147,2018학년도 1학기 경영대학 PPT 특강 개최 안내,행정실,2018-05-25,1407,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10909&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
37,146,2018학년도 하계 경영대학 기업방문단(의전) 모집 안내(연장),행정실,2018-05-08,2201,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10863&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
38,145,"2018학년도 하계 경영대학 전공연수 모집 연장(미국, 뉴질랜드)",행정실,2018-05-08,1797,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10855&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
39,144,2018학년도 1학기 외국인재학생 토픽 장려 장학(외국인지원팀),행정실,2018-04-23,562,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10822&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
40,143,2018학년도 1학기 경영대학 외국인유학생 TOPIK 지원 안내,행정실,2018-04-17,944,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10806&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
41,142,2018학년도 하계 경영대학 전공연수 프로그램 2차 참가자 모집 안내,행정실,2018-04-16,2618,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10804&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
42,141,2017학년도 2학기 경영대학 자체파견 교환학생 후기 공유,행정실,2018-04-02,969,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10762&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
43,140,2018 GC Summer Program 안내,행정실,2018-03-27,1245,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10746&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
44,139,2018 Spring Semester: International Student Conference,행정실,2018-03-26,666,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10741&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=3
45,138,2018年度第一学期 外国留学生座谈会,행정실,2018-03-26,383,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10740&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
46,137,2018학년도 1학기 경영대학 외국인유학생 간담회 안내,행정실,2018-03-26,418,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10739&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
